,Unnamed: 0,Student ID,student_name,gender,grade,school_name,reading_score,math_score,cat_read,cat_math
0,0,0,Paul Bradley,M,9th,Huang High School,66,79,reprobado,aprobado
1,1,1,Victor Smith,M,12th,Huang High School,94,61,aprobado,reprobado
2,2,2,Kevin Rodriguez,M,12th,Huang High School,90,60,aprobado,reprobado
3,3,3,Richard Scott,M,12th,Huang High School,67,58,reprobado,reprobado
4,4,4,Bonnie Ray,F,9th,Huang High School,97,84,aprobado,aprobado
5,5,5,Bryan Miranda,M,9th,Huang High School,94,94,aprobado,aprobado
6,6,6,Sheena Carter,F,11th,Huang High School,82,80,aprobado,aprobado
7,7,7,Nicole Baker,F,12th,Huang High School,96,69,aprobado,reprobado
8,8,8,Michael Roth,M,10th,Huang High School,95,87,aprobado,aprobado
9,9,9,Matthew Greene,M,10th,Huang High School,96,84,aprobado,aprobado
10,10,10,Andrew Alexander,M,10th,Huang High School,90,70,aprobado,aprobado
11,11,11,Daniel Cooper,M,10th,Huang High School,78,77,aprobado,aprobado
12,12,12,Brittney Walker,F,9th,Huang High School,64,79,reprobado,aprobado
13,13,13,William Long,M,9th,Huang High School,71,79,aprobado,aprobado
14,14,14,Tammy Hebert,F,10th,Huang High School,85,67,aprobado,reprobado
15,15,15,Jordan Carson,M,11th,Huang High School,94,88,aprobado,aprobado
16,16,16,Donald Zamora,M,9th,Huang High School,88,55,aprobado,reprobado
17,17,17,Kimberly Santiago,F,9th,Huang High School,74,75,aprobado,aprobado
18,18,18,Kevin Stevens,M,9th,Huang High School,64,69,reprobado,reprobado
19,19,19,Brandi Lyons,F,9th,Huang High School,89,80,aprobado,aprobado
20,20,20,Lisa Davis,F,10th,Huang High School,91,89,aprobado,aprobado
21,21,21,Kristen Lopez,F,10th,Huang High School,90,77,aprobado,aprobado
22,22,22,Kimberly Stewart,F,11th,Huang High School,99,84,aprobado,aprobado
23,23,23,Christopher Parker,M,9th,Huang High School,81,68,aprobado,reprobado
24,24,24,Chelsea Griffith,F,11th,Huang High School,85,73,aprobado,aprobado
25,25,25,Cesar Morris,M,9th,Huang High School,92,70,aprobado,aprobado
26,26,26,Melanie Decker,F,9th,Huang High School,63,85,reprobado,aprobado
27,27,27,Tracey Oconnor,F,10th,Huang High School,80,58,aprobado,reprobado
28,28,28,Kelly James,F,11th,Huang High School,73,55,aprobado,reprobado
29,29,29,Nicole Brown,F,12th,Huang High School,90,88,aprobado,aprobado
30,30,30,Bobby Harris,M,9th,Huang High School,94,99,aprobado,aprobado
31,31,31,Brian Fernandez,M,10th,Huang High School,97,65,aprobado,reprobado
32,32,32,Candace Phelps,F,11th,Huang High School,93,90,aprobado,aprobado
33,33,33,Amy Gonzalez,F,12th,Huang High School,95,68,aprobado,reprobado
34,34,34,Steven Green,M,11th,Huang High School,65,74,reprobado,aprobado
35,35,35,Benjamin Carlson,M,10th,Huang High School,99,61,aprobado,reprobado
36,36,36,Kevin Bailey,M,10th,Huang High School,76,76,aprobado,aprobado
37,37,37,Jesse Newton,M,10th,Huang High School,63,66,reprobado,reprobado
38,38,38,Kimberly Mercado,F,12th,Huang High School,73,77,aprobado,aprobado
39,39,39,Gregory Roberts,M,9th,Huang High School,80,61,aprobado,reprobado
40,40,40,Matthew Mayer,M,9th,Huang High School,79,69,aprobado,reprobado
41,41,41,Jennifer Parks,F,11th,Huang High School,85,95,aprobado,aprobado
42,42,42,John Carlson,M,9th,Huang High School,65,89,reprobado,aprobado
43,43,43,Megan Roberts,F,9th,Huang High School,66,90,reprobado,aprobado
44,44,44,Debra Flores,F,10th,Huang High School,75,66,aprobado,reprobado
45,45,45,Heidi Jackson,F,11th,Huang High School,64,93,reprobado,aprobado
46,46,46,Denise Bradford,F,12th,Huang High School,73,59,aprobado,reprobado
47,47,47,Ellen Brown,F,11th,Huang High School,77,81,aprobado,aprobado
48,48,48,Amy Perkins,F,9th,Huang High School,76,66,aprobado,reprobado
49,49,49,Natalie Mitchell,F,10th,Huang High School,73,93,aprobado,aprobado
50,50,50,Tiffany Gutierrez,F,10th,Huang High School,82,95,aprobado,aprobado
51,51,51,Jennifer Hess,F,11th,Huang High School,91,56,aprobado,reprobado
52,52,52,Christine Fletcher,F,12th,Huang High School,69,78,reprobado,aprobado
53,53,53,Jon Smith,M,9th,Huang High School,96,69,aprobado,reprobado
54,54,54,Tracey Yates,F,9th,Huang High School,83,68,aprobado,reprobado
55,55,55,Jerry Gordon,M,12th,Huang High School,95,71,aprobado,aprobado
56,56,56,Michael Cox,M,11th,Huang High School,72,72,aprobado,aprobado
57,57,57,Madeline Snyder,F,9th,Huang High School,97,56,aprobado,reprobado
58,58,58,Allison King,F,11th,Huang High School,74,84,aprobado,aprobado
59,59,59,Theresa Meyer,F,9th,Huang High School,88,70,aprobado,aprobado
60,60,60,Jared Wood,M,9th,Huang High School,63,89,reprobado,aprobado
61,61,61,Eric Maynard,M,9th,Huang High School,64,95,reprobado,aprobado
62,62,62,Mark Owens,M,11th,Huang High School,74,65,aprobado,reprobado
63,63,63,Ronnie Conley,M,11th,Huang High School,77,61,aprobado,reprobado
64,64,64,Kimberly Davis,F,12th,Huang High School,87,57,aprobado,reprobado
65,65,65,Amy Mitchell,F,11th,Huang High School,74,60,aprobado,reprobado
66,66,66,Dylan Taylor,M,10th,Huang High School,77,93,aprobado,aprobado
67,67,67,Elizabeth Henderson,F,12th,Huang High School,70,60,aprobado,reprobado
68,68,68,James Lopez,M,12th,Huang High School,65,82,reprobado,aprobado
69,69,69,Michael Morgan,M,11th,Huang High School,75,89,aprobado,aprobado
70,70,70,Angela Francis,F,12th,Huang High School,70,60,aprobado,reprobado
71,71,71,Breanna Taylor,F,10th,Huang High School,93,68,aprobado,reprobado
72,72,72,Jason Johnson,M,12th,Huang High School,82,65,aprobado,reprobado
73,73,73,Kyle Martin,M,10th,Huang High School,72,94,aprobado,aprobado
74,74,74,Scott Gill,M,10th,Huang High School,85,85,aprobado,aprobado
75,75,75,Lisa Long,F,10th,Huang High School,87,62,aprobado,reprobado
76,76,76,Erin Liu,F,9th,Huang High School,78,76,aprobado,aprobado
77,77,77,Marcus Richards,M,12th,Huang High School,83,76,aprobado,aprobado
78,78,78,Jason Thompson,M,12th,Huang High School,99,57,aprobado,reprobado
79,79,79,Elizabeth Mckinney,F,9th,Huang High School,74,81,aprobado,aprobado
80,80,80,Jessica Bailey,F,10th,Huang High School,67,70,reprobado,aprobado
81,81,81,Lisa Frye,F,12th,Huang High School,94,73,aprobado,aprobado
82,82,82,Lindsey Baker,F,11th,Huang High School,81,57,aprobado,reprobado
83,83,83,Lisa Ramirez,F,12th,Huang High School,64,76,reprobado,aprobado
84,84,84,Joseph Butler,M,10th,Huang High School,77,63,aprobado,reprobado
85,85,85,Tina Lynch,F,10th,Huang High School,94,60,aprobado,reprobado
86,86,86,Leah Benitez,F,10th,Huang High School,93,84,aprobado,aprobado
87,87,87,Elizabeth Parker,F,10th,Huang High School,85,56,aprobado,reprobado
88,88,88,Melissa Hunter,F,10th,Huang High School,90,70,aprobado,aprobado
89,89,89,Madison Everett,F,11th,Huang High School,70,78,aprobado,aprobado
90,90,90,Ronald Garcia,M,9th,Huang High School,99,86,aprobado,aprobado
91,91,91,Mark Cherry,M,10th,Huang High School,96,98,aprobado,aprobado
92,92,92,Ryan Stokes,M,9th,Huang High School,75,72,aprobado,aprobado
93,93,93,Isaiah Maldonado,M,10th,Huang High School,84,91,aprobado,aprobado
94,94,94,Micheal Dennis,M,12th,Huang High School,86,61,aprobado,reprobado
95,95,95,Kevin Martinez,M,11th,Huang High School,89,58,aprobado,reprobado
96,96,96,Jessica Smith,F,9th,Huang High School,77,72,aprobado,aprobado
97,97,97,Dawn Trujillo,F,11th,Huang High School,82,87,aprobado,aprobado
98,98,98,Virginia Ramirez,F,10th,Huang High School,99,89,aprobado,aprobado
99,99,99,Marc Hernandez,M,10th,Huang High School,87,63,aprobado,reprobado
100,100,100,Jose Gonzalez,M,12th,Huang High School,69,67,reprobado,reprobado
101,101,101,Jason Dennis,M,10th,Huang High School,72,57,aprobado,reprobado
102,102,102,Gary Morris,M,11th,Huang High School,74,58,aprobado,reprobado
103,103,103,William Mcdonald,M,12th,Huang High School,86,74,aprobado,aprobado
104,104,104,Michael Savage,M,9th,Huang High School,75,66,aprobado,reprobado
105,105,105,Alexis Todd,F,11th,Huang High School,82,95,aprobado,aprobado
106,106,106,David Hansen,M,10th,Huang High School,76,86,aprobado,aprobado
107,107,107,Steven Mendez,M,12th,Huang High School,68,88,reprobado,aprobado
108,108,108,Ryan Lynch,M,12th,Huang High School,77,67,aprobado,reprobado
109,109,109,Timothy Marks,M,9th,Huang High School,78,62,aprobado,reprobado
110,110,110,Alexander Johns,M,10th,Huang High School,67,77,reprobado,aprobado
111,111,111,Kenneth Chavez,M,9th,Huang High School,70,79,aprobado,aprobado
112,112,112,Dennis Williams,M,10th,Huang High School,88,67,aprobado,reprobado
113,113,113,Michael Roy,M,12th,Huang High School,85,73,aprobado,aprobado
114,114,114,Richard Ryan,M,12th,Huang High School,88,86,aprobado,aprobado
115,115,115,Matthew Reyes,M,12th,Huang High School,79,60,aprobado,reprobado
116,116,116,Stephanie Ward,F,11th,Huang High School,75,69,aprobado,reprobado
117,117,117,Christopher Tucker,M,10th,Huang High School,80,90,aprobado,aprobado
118,118,118,Daniel Jones,M,12th,Huang High School,66,68,reprobado,reprobado
119,119,119,Devin Craig,M,10th,Huang High School,65,80,reprobado,aprobado
120,120,120,Erin Prince,F,12th,Huang High School,88,81,aprobado,aprobado
121,121,121,Bernard Ortiz,M,11th,Huang High School,78,76,aprobado,aprobado
122,122,122,Nicole Miller,F,10th,Huang High School,98,57,aprobado,reprobado
123,123,123,Christopher Fritz,M,9th,Huang High School,88,77,aprobado,aprobado
124,124,124,Bonnie Mckinney,F,11th,Huang High School,63,65,reprobado,reprobado
125,125,125,Troy Nelson,M,11th,Huang High School,79,63,aprobado,reprobado
126,126,126,Jennifer Lee,F,12th,Huang High School,93,66,aprobado,reprobado
127,127,127,Ronald Ward,M,10th,Huang High School,74,89,aprobado,aprobado
128,128,128,Nathaniel Hampton,M,11th,Huang High School,70,81,aprobado,aprobado
129,129,129,Michael Travis,M,11th,Huang High School,65,79,reprobado,aprobado
130,130,130,James Taylor,M,9th,Huang High School,77,71,aprobado,aprobado
131,131,131,Thomas Strickland,M,9th,Huang High School,63,77,reprobado,aprobado
132,132,132,Brittany Jackson,F,9th,Huang High School,79,57,aprobado,reprobado
133,133,133,Marisa Lowe,F,9th,Huang High School,95,95,aprobado,aprobado
134,134,134,Nicole Thomas,F,9th,Huang High School,83,59,aprobado,reprobado
135,135,135,Matthew Rodriguez,M,12th,Huang High School,80,79,aprobado,aprobado
136,136,136,Kent Fernandez,M,12th,Huang High School,66,58,reprobado,reprobado
137,137,137,Michelle Martin,F,12th,Huang High School,86,92,aprobado,aprobado
138,138,138,John Sparks,M,9th,Huang High School,74,91,aprobado,aprobado
139,139,139,Ann Blake,F,11th,Huang High School,97,75,aprobado,aprobado
140,140,140,Melissa Miller,F,12th,Huang High School,76,67,aprobado,reprobado
141,141,141,Steven Houston,M,9th,Huang High School,99,71,aprobado,aprobado
142,142,142,Kristen Anderson,F,11th,Huang High School,78,76,aprobado,aprobado
143,143,143,Cory Jones,M,11th,Huang High School,82,73,aprobado,aprobado
144,144,144,Jennifer Mora,F,10th,Huang High School,98,73,aprobado,aprobado
145,145,145,Dennis Griffin,M,9th,Huang High School,78,71,aprobado,aprobado
146,146,146,Darryl Brown,M,10th,Huang High School,98,90,aprobado,aprobado
147,147,147,Martin Mosley,M,10th,Huang High School,90,67,aprobado,reprobado
148,148,148,Joyce Diaz,F,10th,Huang High School,85,58,aprobado,reprobado
149,149,149,Jeffrey Rose,M,12th,Huang High School,81,91,aprobado,aprobado
150,150,150,Jamie Moreno,F,9th,Huang High School,78,99,aprobado,aprobado
151,151,151,Catherine Williams,F,9th,Huang High School,66,56,reprobado,reprobado
152,152,152,Lauren Byrd,F,11th,Huang High School,66,92,reprobado,aprobado
153,153,153,Vanessa Frazier,F,10th,Huang High School,85,82,aprobado,aprobado
154,154,154,Stephen Bryant,M,11th,Huang High School,83,77,aprobado,aprobado
155,155,155,Lawrence Liu,M,12th,Huang High School,82,73,aprobado,aprobado
156,156,156,Joseph Larsen,M,9th,Huang High School,88,82,aprobado,aprobado
157,157,157,Susan Collier,F,11th,Huang High School,76,92,aprobado,aprobado
158,158,158,Meagan Jensen,F,9th,Huang High School,66,67,reprobado,reprobado
159,159,159,Julie Harper,F,12th,Huang High School,88,73,aprobado,aprobado
160,160,160,Meghan Carroll,F,12th,Huang High School,75,98,aprobado,aprobado
161,161,161,Wanda Horton,F,11th,Huang High School,68,88,reprobado,aprobado
162,162,162,Mary Campbell,F,10th,Huang High School,72,56,aprobado,reprobado
163,163,163,Jennifer Rodgers,F,11th,Huang High School,83,98,aprobado,aprobado
164,164,164,Heather Cooper,F,12th,Huang High School,85,61,aprobado,reprobado
165,165,165,Ryan Perez,M,11th,Huang High School,70,87,aprobado,aprobado
166,166,166,Ryan Cox,M,12th,Huang High School,95,72,aprobado,aprobado
167,167,167,Darren Zavala,M,10th,Huang High School,64,84,reprobado,aprobado
168,168,168,Joseph Morales III,M,10th,Huang High School,64,85,reprobado,aprobado
169,169,169,Aaron West,M,10th,Huang High School,98,67,aprobado,reprobado
170,170,170,James Combs,M,10th,Huang High School,65,82,reprobado,aprobado
171,171,171,Curtis Garner,M,10th,Huang High School,79,78,aprobado,aprobado
172,172,172,Sarah Miller,F,10th,Huang High School,94,71,aprobado,aprobado
173,173,173,Samantha Thomas,F,10th,Huang High School,92,62,aprobado,reprobado
174,174,174,Robert Atkins,M,9th,Huang High School,85,97,aprobado,aprobado
175,175,175,Alexis Crawford,M,10th,Huang High School,70,82,aprobado,aprobado
176,176,176,Ryan Maddox,M,11th,Huang High School,80,80,aprobado,aprobado
177,177,177,Jonathan Meyer,M,9th,Huang High School,65,79,reprobado,aprobado
178,178,178,Donna Wagner,F,10th,Huang High School,95,61,aprobado,reprobado
179,179,179,William Kennedy,M,11th,Huang High School,76,56,aprobado,reprobado
180,180,180,Kimberly Martinez,F,11th,Huang High School,84,83,aprobado,aprobado
181,181,181,Matthew Anderson,M,11th,Huang High School,92,99,aprobado,aprobado
182,182,182,Kari Miller,F,9th,Huang High School,88,55,aprobado,reprobado
183,183,183,Jenna Luna,F,9th,Huang High School,73,91,aprobado,aprobado
184,184,184,Justin Contreras,M,12th,Huang High School,89,63,aprobado,reprobado
185,185,185,Mary Fox,F,11th,Huang High School,94,92,aprobado,aprobado
186,186,186,Joseph Perkins,M,10th,Huang High School,96,76,aprobado,aprobado
187,187,187,Kelly Phillips,F,12th,Huang High School,78,90,aprobado,aprobado
188,188,188,Justin Thornton,M,11th,Huang High School,65,61,reprobado,reprobado
189,189,189,Joshua Barber,M,10th,Huang High School,77,61,aprobado,reprobado
190,190,190,Travis Jackson,M,11th,Huang High School,86,96,aprobado,aprobado
191,191,191,Jordan Beasley,F,10th,Huang High School,96,59,aprobado,reprobado
192,192,192,Kevin Allen,M,12th,Huang High School,68,63,reprobado,reprobado
193,193,193,Victoria Harris,F,11th,Huang High School,89,59,aprobado,reprobado
